,Name,PSRJ,RAJ,DECJ,POSEPOCH,F0,F1,F2,PEPOCH,DM,DIST,W50,W10,S400,S1400,SPINDX,PSRTYPE,NGLT
1988,J1857+0809,J1857+0809,18:57:09.3,+08:09:04.3,51991.00,1.988373,-1.873e-14,*,51991.00,282.00,8.72,12.000,*,*,0.14,*,*,*
1989,B1855+09,J1857+0943,18:57:36.3,+09:43:17.2,54978.00,186.494078,-6.204e-16,*,54500.00,13.30,0.70,0.518,3.030,31.00,5.00,-1.60,*,*
1990,J1857-1027,J1857-1027,18:57:26.4,-10:27:01,51650.00,0.271207,-7.760e-16,*,51650.00,108.90,3.64,150.000,210.000,*,*,*,*,*
1991,J1858+02,J1858+02,18:58,+02:00,*,5.059449,*,*,*,492.10,8.51,*,*,*,*,*,*,*
1992,J1858+0215,J1858+0215,18:58:17.4,+02:15:38,51720.00,1.340792,-8.290e-15,*,51720.00,702.00,12.46,32.500,*,*,0.22,*,*,*
1993,J1858+0241,J1858+0241,18:58:53.8,+02:41:38,52111.00,0.213073,-1.104e-15,*,52111.00,336.00,6.46,80.000,*,*,0.10,*,*,*
1994,J1858+0346,J1858+0346,18:58:22.3,+03:46:37.8,54510.00,3.893417,-3.093e-14,*,54510.00,386.00,7.28,36.700,*,*,0.19,*,*,*
1995,J1858-0736,J1858-0736,18:58:44.3,-07:37,56108.50,1.814689,-1.666e-14,*,56108.50,194.00,7.20,*,*,*,0.30,*,*,*
1996,J1858-2216,J1858-2216,18:58,-22:16,*,420.168067,*,*,*,26.60,1.35,*,*,*,*,*,*,*
1997,J1859+00,J1859+00,18:59:46,+00:35,*,1.786882,*,*,*,420.00,8.91,54.000,97.000,*,4.80,*,*,*
1998,J1859+0601,J1859+0601,18:59:45.7,+06:01:46.1,52503.00,0.957568,-2.339e-14,*,52503.00,276.00,5.98,24.320,*,*,0.30,*,*,*
1999,J1859+1526,J1859+1526,18:59:44.3,+15:26:11.0,49079.50,1.070696,-4.500e-15,*,49079.50,97.45,4.76,11.000,32.000,1.50,*,*,*,*
2000,J1859+76,J1859+76,18:59,+76:54,*,0.717557,*,*,*,47.00,4.02,*,*,3.30,*,*,*,*
2001,J1900-0051,J1900-0051,19:00:46.6,-00:51:08.4,51912.00,2.596094,-9.580e-16,*,51912.00,136.80,3.30,5.600,17.000,*,0.45,*,*,*
2002,J1900+0227,J1900+0227,19:00:38.6,+02:27:32.0,51721.00,2.671928,-4.073e-14,*,51721.00,201.10,4.32,17.300,*,*,0.33,*,*,*
2003,J1900+0308,J1900+0308,19:00:50.5,+03:08:24.0,55255.00,203.697558,-2.450e-16,*,55255.00,249.90,5.27,*,*,*,0.10,*,*,*
2004,J1900+0634,J1900+0634,19:00:28.0,+06:34:20.9,52554.00,2.564963,-3.372e-14,*,52554.00,323.40,7.31,11.100,20.430,*,0.24,*,*,*
2005,J1900-09,J1900-09,19:00:14,-09:28:07,*,0.702247,*,*,*,150.00,5.76,*,*,*,*,*,*,*
2006,B1857-26,J1900-2600,19:00:47.5,-26:00:43.8,48891.00,1.633429,-5.457e-16,-2.760e-27,48891.00,37.99,0.70,34.100,67.600,131.00,13.00,-1.90,*,*
2007,J1900+30,J1900+30,19:00:18,+30:53,*,1.660503,*,*,*,65.00,4.56,*,*,*,*,*,*,*
2008,B1851-79,J1900-7951,19:00:24.4,-79:51:48.2,43565.14,0.781743,-1.137e-15,*,43565.14,39.00,3.87,30.000,85.000,6.50,*,*,*,*
2009,J1901+00,J1901+00,19:01:32,+00:26,*,1.285906,*,*,*,345.50,8.15,22.000,*,*,0.35,*,*,*
2010,J1901+0124,J1901+0124,19:01:52.5,+01:24:49.3,52632.00,3.136593,-3.189e-14,*,52632.00,314.40,7.20,8.255,*,*,0.30,*,*,*
2011,B1859+01,J1901+0156,19:01:34.2,+01:56:38.2,49298.00,3.469582,-2.838e-14,-1.600e-26,49298.00,105.39,2.96,6.100,15.100,13.70,0.38,-2.90,*,1
2012,J1901+0235,J1901+0235,19:01,+02:35,*,1.129637,*,*,*,403.00,8.33,*,*,*,*,*,*,*
2013,J1901+0254,J1901+0254,19:01:15.6,+02:54:41,52626.00,0.769412,-2.700e-16,*,52626.00,185.00,3.95,70.000,*,*,0.58,*,*,*
2014,J1901+0300,J1901+0300,19:01:59.6,+03:00:23.3,56242.00,128.258137,-7.520e-16,*,56242.00,253.89,5.50,*,*,*,0.11,*,*,*
2015,J1901-0312,J1901-0312,19:01:15.6,-03:12:29.5,52608.00,2.811159,-1.811e-14,*,52608.00,106.40,2.89,7.900,*,*,0.23,*,*,*
2016,J1901-0315,J1901-0315,19:01:16.3,-03:15:14.3,53283.00,1.247360,-4.000e-15,*,53283.00,242.60,6.95,10.000,*,*,0.09,*,*,*
2017,J1901+0320,J1901+0320,19:01:03.0,+03:20:18,52503.00,1.570883,-1.290e-15,*,52503.00,393.00,7.74,47.200,*,*,0.89,*,*,*
2018,B1859+03,J1901+0331,19:01:31.7,+03:31:05.9,50027.00,1.525669,-1.736e-14,3.240e-25,50027.00,402.08,7.00,11.000,36.000,165.00,4.20,-3.10,*,*
2019,J1901+0355,J1901+0355,19:01:30.8,+03:55:58.9,52352.00,1.802593,-4.140e-14,*,52352.00,547.00,10.18,12.000,*,*,0.15,*,*,*
2020,J1901+0413,J1901+0413,19:01:10.3,+04:13:51,51706.00,0.375505,-1.856e-14,*,51706.00,352.00,6.91,83.500,*,*,1.10,*,*,*
2021,J1901+0435,J1901+0435,19:01:32.2,+04:35:23,53041.00,1.448066,-1.819e-14,*,53041.00,1042.60,30.00,*,*,*,4.24,*,*,*
2022,J1901+0459,J1901+0459,19:01,+04:59,*,1.140173,*,*,*,1103.60,30.00,*,*,*,0.10,*,*,*
2023,J1901+0510,J1901+0510,19:01:57.8,+05:10:34,52618.00,1.626660,-8.229e-14,*,52618.00,429.00,8.47,56.860,*,*,0.66,-1.80,*,*
2024,J1901+0621,J1901+0621,19:01:05.9,+06:21:19,52282.00,1.201920,-2.600e-17,*,52282.00,94.00,3.11,53.000,*,*,0.47,*,*,*
2025,B1859+07,J1901+0716,19:01:38.9,+07:16:34.8,49863.00,1.552798,-5.515e-15,3.560e-25,49863.00,252.81,3.40,11.000,34.000,3.90,0.90,-0.60,*,1
2026,J1901-0906,J1901-0906,19:01:53.0,-09:06:10.8,50873.00,0.561190,-5.160e-16,1.300e-27,50873.00,72.68,2.42,13.000,69.000,11.00,3.10,*,*,*
2027,J1901+1306,J1901+1306,19:01:48.7,+13:06:48.3,49079.50,0.546192,-3.908e-17,*,49079.50,75.03,3.53,35.000,66.000,0.60,*,*,*,*
2028,J1901-1740,J1901-1740,19:01:18.0,-17:40:00,51500.00,0.511023,-2.149e-16,*,51500.00,24.40,1.27,36.000,120.000,*,*,*,*,*
2029,J1902+02,J1902+02,19:02,+02:00,*,2.407782,*,*,*,281.20,6.37,*,*,*,*,*,*,*
2030,J1902+0248,J1902+0248,19:02:50.2,+02:48:56,52554.00,0.817142,-1.606e-15,*,52554.00,272.00,6.09,35.403,*,*,0.17,*,*,*
2031,J1902-0340,J1902-0340,19:02:50.7,-03:40:18,52724.00,0.655879,-8.600e-16,*,52724.00,114.00,3.13,25.000,*,*,0.22,*,*,*
2032,B1900+05,J1902+0556,19:02:42.6,+05:56:25.9,49722.00,1.339446,-2.310e-14,5.290e-26,49722.00,177.49,3.60,11.000,29.000,15.00,1.20,-1.50,*,*
2033,B1900+06,J1902+0615,19:02:50.2,+06:16:33.4,53390.00,1.484774,-1.700e-14,-2.150e-26,54400.00,502.90,7.00,24.000,136.800,22.00,1.10,-1.70,*,5
2034,J1902+0723,J1902+0723,19:02:13.5,+07:23:51,49079.50,2.049967,-8.825e-16,*,49079.50,105.00,3.33,29.000,56.000,0.60,0.17,*,*,*
2035,J1902-10,J1902-10,19:02:18,-10:39:33,*,1.270971,*,*,*,91.00,3.15,*,*,*,*,*,*,*
2036,J1902-5105,J1902-5105,19:02:02.8,-51:05:56.9,55520.00,573.921045,-3.030e-15,*,55520.00,36.25,2.10,*,*,*,1.20,*,HE,*
2037,J1902-70,J1902-70,19:02,-70,*,277.777778,*,*,*,19.50,1.12,*,*,*,*,*,*,*
2038,B1900+01,J1903+0135,19:03:29.9,+01:35:38.3,48741.00,1.371171,-7.583e-15,9.500e-27,48741.00,245.17,3.30,9.900,23.000,58.00,5.50,-1.60,*,*
2039,J1903-0258,J1903-0258,19:03:30.3,-02:58:15.6,53095.00,3.317203,-7.473e-15,*,53095.00,113.00,3.10,4.800,*,*,0.14,*,*,*
2040,J1903+0327,J1903+0327,19:03:05.7,+03:27:19.2,55000.00,465.135238,-4.072e-15,6.100e-26,55000.00,297.52,6.45,*,*,*,1.30,*,*,*
2041,J1903+0415,J1903+0415,19:03,+04:15,*,0.868515,*,*,*,473.50,9.65,*,*,*,*,*,*,*
2042,J1903+0601,J1903+0601,19:03:20.8,+06:01:34.0,52146.00,2.672960,-1.372e-13,*,52146.00,388.00,7.84,12.000,*,*,0.26,*,*,*
2043,B1900-06,J1903-0632,19:03:37.9,-06:32:21.9,50023.00,2.315420,-1.824e-14,1.000e-25,50023.00,195.61,8.77,16.000,37.500,23.00,*,-1.80,*,*
2044,J1903-0848,J1903-0848,19:03:11.2,-08:48:57.4,54987.00,1.126983,-1.689e-15,*,54987.00,66.99,2.32,12.300,*,*,*,*,*,*
2045,J1903+0925,J1903+0925,19:03:55.1,+09:25:55,53396.00,2.799906,-2.893e-13,*,53396.00,162.00,4.17,*,*,*,0.20,*,*,*
2046,J1903+2225,J1903+2225,19:03:52.9,+22:25:12.3,49079.50,1.535661,-1.049e-15,*,49079.50,109.20,7.86,10.000,33.000,0.80,*,*,*,*
2047,J1903-7051,J1903-7051,19:03:38.7,-70:51:43.4,56526.00,277.940062,-8.060e-16,*,56526.00,19.66,1.13,*,*,*,0.60,*,HE,*
2048,J1904+0004,J1904+0004,19:04:12.7,+00:04:05.3,50866.00,7.167193,-6.064e-15,1.120e-25,50866.00,233.61,6.43,7.800,22.000,16.00,2.10,*,*,*
2049,J1904-0150,J1904-0150,19:04:55.5,-01:50:32.5,53107.00,2.635830,-6.182e-15,*,53107.00,162.20,4.93,5.600,*,*,0.09,*,*,*
2050,J1904+0412,J1904+0412,19:04:31.3,+04:12:05.9,51450.00,14.065707,-2.176e-17,*,51450.00,185.90,4.01,2.500,*,*,0.23,*,*,*
2051,J1904+0451,J1904+0451,19:04:59.3,+04:51:54.9,56242.00,164.139791,-1.540e-16,*,56242.00,182.71,3.96,*,*,*,0.12,*,*,*
2052,J1904+0738,J1904+0738,19:04:07.5,+07:38:51.6,54760.00,4.785643,-9.411e-15,*,54760.00,278.32,5.86,2.900,*,*,0.23,*,*,*
2053,J1904+0800,J1904+0800,19:04:03.5,+08:00:52.6,51911.00,3.797304,-2.497e-13,*,51911.00,438.80,9.20,9.200,*,*,0.36,*,*,*
2054,B1901+10,J1904+1011,19:04:02.4,+10:11:34.6,51600.00,0.538628,-8.007e-17,*,51600.00,135.00,4.03,28.000,93.000,4.40,0.58,*,*,*
2055,J1904-1224,J1904-1224,19:04:33.2,-12:24:01.3,51037.00,1.331898,-1.317e-15,-3.000e-27,51037.00,118.23,5.63,17.000,26.000,6.00,*,*,*,*
2056,J1904-16,J1904-16,19:04:45,-16:24:47,*,0.648929,*,*,*,150.00,9.86,*,*,*,*,*,*,*
